Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001515_2	61990468	3607753	5.819851206801665	58382715	94.18014879319834	0.03	18597.140399999997	0.47	291355.19959999993	0.07	43393.327600000004	0.4	247961.872	2.9	1797723.572	0.15	92985.702	0.67	415336.13560000004	1.12	694293.2416000001
RSS0001516_1																					
RSS0001516_2	60160262	3340915	5.553358461105106	56819347	94.4466415388949	0.04	24064.1048	0.53	318849.3886	0.07	42112.18340000001	0.42	252673.1004	2.56	1540102.7072	0.15	90240.393	0.66	397057.7292	1.12	673794.9344000001
RSS0001517_1																					
RSS0001517_2	63698452	3446373	5.410450162901918	60252079	94.58954983709809	0.03	19109.5356	0.48	305752.5696	0.06	38219.0712	0.39	248423.9628	2.64	1681639.1328	0.15	95547.678	0.6	382190.712	1.05	668833.746
RSS0001518_1																					
RSS0001518_2	65165184	3196594	4.905370941636565	61968590	95.09462905836344	0.03	19549.5552	0.51	332342.43840000004	0.04	26066.0736	0.32	208528.5888	2.52	1642162.6368	0.13	84714.7392	0.47	306276.3648	0.89	579970.1376
RSS0001519_1																					
RSS0001519_2	63817064	3221352	5.047790979541146	60595712	94.95220902045885	0.05	31908.532	0.52	331848.7328	0.07	44671.944800000005	0.44	280795.08160000003	1.87	1193379.0968000002	0.16	102107.3024	0.75	478627.98	1.17	746659.6488
RSS0001520_1																					
RSS0001520_2	58939066	3658722	6.207634847827415	55280344	93.79236515217258	0.06	35363.4396	0.49	288801.42339999997	0.09	53045.1594	0.49	288801.42339999997	2.67	1573673.0621999998	0.17	100196.4122	0.87	512769.87419999996	1.36	801571.2976
RSS0001521_1																					
